hostname,os_family,os_version,cpu_cores,memory_gb,gpu_present,domain_joined,open_ports,running_services,software_indicators,ad_groups,privilege_level,workstation_role,confidentiality,integrity,availability,record_source,confidence,is_synthetic
wks-0514,Windows,10,4,8,False,True,[139],['Defender' 'EDR Agent' 'SSH'],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['Executives'],Privileged Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_ml_seed,0.82,True
wks-0515,Windows,10,4,8,False,True,[ 135  139  445 3389],['Defender' 'OneDrive Sync'],['Chrome' 'Office' 'Teams' 'VPN Client' 'Zoom'],['HR' 'IT Operations'],Local Admin,Executive Workstation,High,High,Moderate,synthetic_hybrid,0.82,True
wks-0516,Windows,11,8,64,False,True,[ 135  445 3389],['Backup Agent' 'Defender' 'Print Spooler' 'SSH'],['CRM Client' 'Chrome' 'Softphone'],['IT Operations' 'Retail'],Local Admin,Call Center Workstation,Moderate,High,High,synthetic_rules,0.72,True
wks-0517,Windows,11,4,32,False,True,[135 139 445],['Defender' 'EDR Agent'],['CRM Client' 'Chrome' 'Softphone' 'Teams' 'VPN Client'],['HR'],Privileged Admin,Call Center Workstation,Moderate,High,High,synthetic_ml_seed,0.75,True
wks-0518,Windows,10,8,16,True,True,[ 135  139  445 3389],['Backup Agent' 'Print Spooler' 'RDP' 'SSH'],['Anaconda' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'TensorFlow'],['Data Scientists' 'Executives'],Standard User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.73,True
wks-0519,Ubuntu Desktop,22.04,4,16,False,True,[22],['OneDrive Sync' 'Print Spooler' 'SSH' 'VPN Client'],['Chrome' 'Postman' 'Selenium'],['Training'],Standard User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.73,True
wks-0520,Windows,11,4,32,False,True,[ 139  445 3389],['EDR Agent' 'RDP' 'SSH' 'VPN Client'],['Chrome' 'Postman' 'Selenium'],['Call Center' 'Executives'],Standard User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.77,True
wks-0521,macOS,13,8,64,True,False,[631],['Backup Agent' 'RDP'],['AutoCAD' 'MATLAB' 'SolidWorks' 'Teams'],['Domain Users' 'IT Operations'],Power User,Engineering CAD Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.81,True
wks-0522,Windows,11,4,16,False,True,[135 445],['Defender' 'SSH'],['Chrome' 'Firefox' 'KioskShell' 'VPN Client' 'Zoom'],['HR' 'Retail'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.82,True
wks-0523,macOS,13,16,32,True,False,[ 22 631],['Print Spooler' 'VPN Client'],['Office' 'Teams' 'Workday'],['Developers' 'Training'],Standard User,HR Workstation,High,High,Moderate,synthetic_hybrid,0.82,True
wks-0524,macOS,14,4,16,False,False,[631],['Defender' 'OneDrive Sync'],['Chrome' 'POS Client' 'Receipt Printer Driver' 'VPN Client' 'Zoom'],['Call Center'],Power User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_rules,0.72,True
wks-0525,Windows,10,4,64,False,True,[ 135  445 3389],[],['Chrome' 'Firefox' 'Office' 'VPN Client' 'VS Code' 'Zoom'],['SOC'],Power User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.91,True
wks-0526,macOS,13,32,64,False,False,[22],['Backup Agent' 'Defender' 'RDP'],['Firefox' 'POS Client' 'Receipt Printer Driver' 'VPN Client'],['Call Center' 'Executives'],Power User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_hybrid,0.93,True
wks-0527,Windows,10,4,64,False,True,[135 139],['Backup Agent' 'OneDrive Sync'],['Chrome' 'Office' 'Teams' 'VS Code'],['Call Center'],Standard User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.76,True
wks-0528,Windows,10,32,32,False,True,[ 135  139  445 3389],[],['Chrome' 'Firefox' 'Office' 'VS Code'],['Finance'],Standard User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.91,True
wks-0529,Ubuntu Desktop,22.04,32,16,True,True,[  22  631 8000],[],['Anaconda' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'TensorFlow'],['IT Operations' 'Retail'],Power User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.75,True
wks-0530,macOS,13,16,16,False,False,[ 22 631],['Backup Agent' 'OneDrive Sync' 'SSH' 'VPN Client'],['Firefox' 'Office' 'POS Client' 'Receipt Printer Driver' 'Teams'],['Developers' 'SOC'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_hybrid,0.98,True
wks-0531,Windows,10,4,16,True,True,[3389],['Defender' 'Print Spooler' 'RDP' 'VPN Client'],['Adobe Creative Cloud' 'Blender' 'Figma' 'Office' 'VPN Client'],['Retail'],Local Admin,Graphic Design Workstation,Moderate,High,Moderate,synthetic_ml_seed,0.82,True
wks-0532,Ubuntu Desktop,22.04,16,8,False,True,[ 22 631],['EDR Agent' 'OneDrive Sync' 'Print Spooler' 'RDP'],['Excel' 'Firefox' 'Power BI Desktop' 'SAP GUI' 'Teams'],['Domain Users' 'Training'],Standard User,Finance Workstation,High,High,Moderate,synthetic_rules,0.76,True
wks-0533,Windows,11,4,64,False,True,[ 135  139  445 3389],['Backup Agent' 'OneDrive Sync' 'RDP'],['Chrome' 'PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation' 'Zoom'],['HR'],Standard User,IT Admin Workstation,High,High,Moderate,synthetic_hybrid,0.78,True
wks-0534,Windows,10,4,32,True,True,[ 135  139 3389 8888],[],"['Anaconda' 'Chrome' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'Teams'
 'TensorFlow' 'VPN Client']",['Data Scientists'],Standard User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.87,True
wks-0535,Ubuntu Desktop,22.04,16,8,False,True,[22],['Backup Agent' 'EDR Agent' 'RDP' 'VPN Client'],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['SOC'],Local Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_ml_seed,0.99,True
wks-0536,Ubuntu Desktop,22.04,8,64,False,True,[22],['OneDrive Sync' 'VPN Client'],['Excel' 'Power BI Desktop' 'SAP GUI'],['Executives' 'SOC'],Standard User,Finance Workstation,High,High,Moderate,synthetic_rules,0.7,True
wks-0537,Windows,10,8,8,False,True,[3389 8000],['Backup Agent' 'EDR Agent' 'Print Spooler' 'SSH'],['Chrome' 'Firefox' 'Postman' 'Selenium' 'Teams' 'VPN Client'],['Data Scientists' 'Developers'],Standard User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.93,True
wks-0538,Windows,11,4,16,False,True,[135],['EDR Agent' 'OneDrive Sync' 'RDP' 'SSH'],['Firefox' 'PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'],['Domain Users'],Standard User,IT Admin Workstation,High,High,Moderate,synthetic_rules,0.7,True
wks-0539,Windows,10,4,16,False,True,[135 445],[],['CRM Client' 'Chrome' 'Softphone'],['Call Center'],Standard User,Call Center Workstation,Moderate,Moderate,High,synthetic_ml_seed,0.76,True
wks-0540,Windows,10,4,32,False,True,[135 445],['Defender' 'EDR Agent' 'OneDrive Sync'],['CRM Client' 'Chrome' 'Softphone' 'Teams' 'Zoom'],['QA' 'Training'],Standard User,Call Center Workstation,Moderate,Moderate,High,synthetic_rules,0.77,True
wks-0541,macOS,13,8,16,True,True,[631],['Backup Agent' 'Defender' 'OneDrive Sync' 'RDP'],['Chrome' 'Office' 'Teams' 'Workday' 'Zoom'],['Executives'],Standard User,HR Workstation,High,High,Moderate,synthetic_hybrid,0.73,True
wks-0542,Windows,11,8,16,False,True,[135 445],['OneDrive Sync' 'SSH'],['Chrome' 'Postman' 'Selenium' 'Teams' 'VPN Client' 'Zoom'],['Training'],Standard User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.76,True
wks-0543,Windows,10,8,16,True,True,[139 445],['Defender' 'RDP' 'SSH' 'VPN Client'],['Adobe Creative Cloud' 'Blender' 'Figma' 'Teams' 'VPN Client'],['Executives' 'Finance'],Standard User,Graphic Design Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.93,True
wks-0544,macOS,14,8,32,False,True,[ 631 8000 8888],['Defender' 'EDR Agent'],['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code'],['Call Center' 'Developers'],Local Admin,Developer Workstation,Moderate,High,Moderate,synthetic_rules,0.86,True
wks-0545,macOS,13,32,64,False,True,[22],['Backup Agent' 'OneDrive Sync' 'RDP'],['Chrome' 'Office' 'VS Code'],['Executives' 'Retail'],Standard User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.98,True
wks-0546,Ubuntu Desktop,22.04,4,64,False,True,[ 22 631],['Backup Agent' 'SSH'],['Chrome' 'Firefox' 'Office' 'Teams' 'VPN Client'],['Executives'],Power User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.81,True
wks-0547,Windows,11,16,64,False,True,[135],['Defender' 'Print Spooler' 'SSH'],['Chrome' 'Office' 'Teams' 'VPN Client' 'VS Code'],['IT Operations'],Standard User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.8,True
wks-0548,Windows,10,16,64,True,True,[ 135  445 3389],[],['Adobe Creative Cloud' 'Blender' 'Figma'],['Data Scientists'],Standard User,Graphic Design Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.76,True
wks-0549,Windows,11,8,8,True,True,[139 445],['Backup Agent' 'EDR Agent' 'RDP' 'SSH'],['Office' 'Teams' 'Workday'],['Domain Users'],Standard User,HR Workstation,High,High,Moderate,synthetic_ml_seed,0.99,True
wks-0550,Windows,10,32,8,False,True,[ 139 3389 8000 8888],['Defender' 'EDR Agent' 'OneDrive Sync'],['Chrome' 'Office' 'Postman' 'Selenium' 'Teams' 'Zoom'],['SOC'],Local Admin,QA Test Workstation,Moderate,High,Moderate,synthetic_rules,0.9,True
wks-0551,Windows,11,8,16,False,True,[ 135  139  445 3389],['Backup Agent' 'Defender' 'Print Spooler' 'SSH'],['Office' 'POS Client' 'Receipt Printer Driver' 'VPN Client' 'Zoom'],['Executives' 'IT Operations'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_ml_seed,0.9,True
wks-0552,macOS,13,4,8,False,False,[631],['Backup Agent' 'EDR Agent' 'SSH' 'VPN Client'],['Office' 'PuTTY' 'RDP' 'ServiceNow' 'Teams' 'Zoom'],['Training'],Standard User,Help Desk Workstation,Moderate,Moderate,High,synthetic_rules,0.99,True
wks-0553,Windows,10,16,16,False,True,[135 139 445],['Backup Agent' 'EDR Agent' 'RDP'],['PuTTY' 'RDP' 'ServiceNow' 'Teams'],['Executives' 'Help Desk'],Power User,Help Desk Workstation,Moderate,Moderate,High,synthetic_ml_seed,0.95,True
wks-0554,Windows,11,4,16,True,True,[3389],[],['Anaconda' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'TensorFlow'],['IT Operations'],Standard User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.73,True
wks-0555,Windows,11,32,16,False,True,[135],['Backup Agent' 'EDR Agent' 'Print Spooler' 'RDP'],['CRM Client' 'Chrome' 'Softphone' 'VPN Client'],['Domain Users' 'HR'],Standard User,Call Center Workstation,Moderate,Moderate,High,synthetic_rules,0.76,True
wks-0556,Windows,11,4,64,False,True,[139],['OneDrive Sync' 'VPN Client'],['Chrome' 'Firefox' 'Office' 'VS Code'],['Developers' 'Retail'],Power User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.84,True
wks-0557,Windows,10,4,16,True,True,[ 139 3389],['Print Spooler' 'RDP'],['AutoCAD' 'MATLAB' 'SolidWorks'],['Domain Users' 'Engineering'],Power User,Engineering CAD Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.81,True
wks-0558,Windows,11,4,16,True,True,[ 135  139  445 3389],['OneDrive Sync' 'RDP' 'VPN Client'],['Chrome' 'PowerShell' 'PuTTY' 'RSAT' 'Teams' 'VMware Workstation'],['Developers'],Power User,IT Admin Workstation,High,High,Moderate,synthetic_ml_seed,0.77,True
wks-0559,macOS,14,32,8,True,False,[  22  631 8000],['OneDrive Sync' 'VPN Client'],"['Anaconda' 'Chrome' 'Firefox' 'Jupyter' 'PyTorch' 'Python' 'RStudio'
 'TensorFlow' 'VPN Client']",['HR' 'Help Desk'],Standard User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.87,True
wks-0560,Windows,10,8,16,False,True,[ 135  445 3389],[],['Chrome' 'KioskShell' 'Teams'],['Call Center' 'IT Operations'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.89,True
wks-0561,macOS,14,8,32,False,True,[  22  631 5601],['Backup Agent' 'Defender' 'RDP'],['Burp Suite' 'Firefox' 'Splunk' 'Sysinternals' 'Teams' 'Wireshark' 'Zoom'],['Help Desk'],Standard User,SOC Analyst Workstation,High,High,Moderate,synthetic_hybrid,0.88,True
wks-0562,Windows,10,4,8,False,True,[ 135  445 3389],['Defender' 'Print Spooler' 'SSH'],['Chrome' 'Office' 'Teams'],['Domain Users' 'Training'],Power User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.8,True
wks-0563,Windows,10,16,16,True,True,[ 135  445 3389],['Backup Agent' 'Defender' 'EDR Agent' 'Print Spooler'],['Adobe Creative Cloud' 'Blender' 'Figma' 'Zoom'],['QA'],Standard User,Graphic Design Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.91,True
wks-0564,Windows,11,4,64,False,True,[ 135  139  445 3389],['Backup Agent' 'EDR Agent' 'OneDrive Sync'],['Office' 'Teams' 'Zoom'],['Call Center'],Power User,Executive Workstation,High,High,Moderate,synthetic_rules,0.87,True
wks-0565,macOS,13,32,32,True,False,[ 22 631],['Backup Agent' 'OneDrive Sync' 'RDP'],['AutoCAD' 'MATLAB' 'SolidWorks' 'Teams' 'VPN Client' 'Zoom'],['SOC'],Standard User,Engineering CAD Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.71,True
wks-0566,Windows,10,32,64,False,True,[135],[],['Chrome' 'Office' 'POS Client' 'Receipt Printer Driver' 'Zoom'],['Help Desk' 'Training'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_rules,0.86,True
wks-0567,Windows,10,16,32,False,True,[3389],[],['PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'],['Data Scientists' 'Training'],Local Admin,IT Admin Workstation,High,High,Moderate,synthetic_ml_seed,0.99,True
wks-0568,Windows,10,32,16,False,True,[ 135  139 3389],[],['PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'],['Executives' 'Help Desk'],Privileged Admin,IT Admin Workstation,High,High,Moderate,synthetic_ml_seed,0.84,True
wks-0569,macOS,14,16,64,False,False,[  22 8000],['RDP' 'VPN Client'],['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code'],['Developers' 'Help Desk'],Standard User,Developer Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.72,True
wks-0570,Windows,10,4,16,False,True,[ 135  139  445 3389],['Backup Agent' 'Defender' 'OneDrive Sync' 'RDP'],['POS Client' 'Receipt Printer Driver'],['Training'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_hybrid,0.9,True
wks-0571,Windows,11,16,16,False,True,[ 445 3389],['OneDrive Sync' 'VPN Client'],['POS Client' 'Receipt Printer Driver'],['Data Scientists' 'SOC'],Privileged Admin,Point of Sale Workstation,Moderate,High,High,synthetic_ml_seed,0.77,True
wks-0572,Windows,11,8,8,True,True,[445],['Backup Agent' 'Defender' 'OneDrive Sync' 'SSH'],['Chrome' 'KioskShell' 'Teams' 'VPN Client' 'Zoom'],['Executives'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.85,True
wks-0573,Windows,11,4,32,False,True,[445],['Backup Agent' 'Print Spooler' 'SSH'],['CRM Client' 'Chrome' 'Firefox' 'Softphone' 'VPN Client'],['Developers' 'Help Desk'],Power User,Call Center Workstation,Moderate,Moderate,High,synthetic_ml_seed,0.8,True
wks-0574,Windows,10,16,8,True,True,[8888],['Backup Agent' 'RDP'],['Anaconda' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'TensorFlow'],['Training'],Local Admin,Data Science Workstation,Moderate,High,Moderate,synthetic_rules,0.81,True
wks-0575,Windows,10,16,32,False,True,[8000 8888],['Defender' 'SSH'],"['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'Office' 'PyCharm' 'VS Code'
 'Zoom']",['Developers' 'HR' 'QA'],Power User,Developer Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.92,True
wks-0576,Windows,11,32,16,False,True,[135 445],['EDR Agent' 'OneDrive Sync' 'RDP' 'SSH'],['PowerShell' 'PuTTY' 'RSAT' 'Teams' 'VMware Workstation'],['Developers' 'Executives'],Privileged Admin,IT Admin Workstation,High,High,Moderate,synthetic_hybrid,0.76,True
wks-0577,Windows,10,32,16,True,True,[ 139 3389],[],['CRM Client' 'Chrome' 'Softphone'],['Call Center'],Local Admin,Call Center Workstation,Moderate,High,High,synthetic_rules,0.83,True
wks-0578,Ubuntu Desktop,22.04,32,64,False,True,[631],['SSH' 'VPN Client'],['POS Client' 'Receipt Printer Driver' 'Teams'],['Engineering' 'QA'],Local Admin,Point of Sale Workstation,Moderate,High,High,synthetic_rules,0.81,True
wks-0579,Windows,11,8,16,False,True,[5601],['EDR Agent' 'OneDrive Sync' 'VPN Client'],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['HR' 'IT Operations'],Standard User,SOC Analyst Workstation,High,High,Moderate,synthetic_rules,0.7,True
wks-0580,Windows,10,4,16,True,True,[ 135  139  445 3389],['OneDrive Sync' 'SSH'],['Chrome' 'Office' 'VS Code'],['SOC'],Standard User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.91,True
wks-0581,macOS,13,32,16,False,False,[22],['Defender' 'EDR Agent' 'OneDrive Sync' 'RDP'],['Chrome' 'Firefox' 'Office' 'Teams' 'VS Code'],['Retail'],Power User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.74,True
wks-0582,Windows,11,4,16,True,True,[ 135  139  445 3389],['Backup Agent' 'OneDrive Sync'],['AutoCAD' 'MATLAB' 'SolidWorks' 'VPN Client'],['Developers'],Standard User,Engineering CAD Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.95,True
wks-0583,Windows,11,16,16,False,True,[ 135  445 3389 5601],[],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['SOC' 'Training'],Power User,SOC Analyst Workstation,High,High,Moderate,synthetic_hybrid,0.91,True
wks-0584,macOS,14,4,16,False,False,[  22  631 8000 8888],['Print Spooler' 'VPN Client'],['Chrome' 'Postman' 'Selenium' 'VPN Client' 'Zoom'],['Engineering' 'SOC'],Local Admin,QA Test Workstation,Moderate,High,Moderate,synthetic_ml_seed,0.85,True
wks-0585,Windows,10,8,8,False,True,[135],[],['PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'],['Training'],Privileged Admin,IT Admin Workstation,High,High,Moderate,synthetic_hybrid,0.92,True
wks-0586,Windows,11,4,16,False,True,[ 135  139  445 3389],['Print Spooler' 'VPN Client'],['Office' 'Teams' 'Workday' 'Zoom'],['Developers'],Local Admin,HR Workstation,High,High,Moderate,synthetic_rules,0.78,True
wks-0587,Ubuntu Desktop,22.04,8,8,False,True,[631],['EDR Agent' 'SSH' 'VPN Client'],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['Call Center'],Privileged Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_hybrid,0.95,True
wks-0588,Windows,10,16,16,False,True,[ 135  139 3389],['Backup Agent' 'Print Spooler' 'SSH' 'VPN Client'],['CRM Client' 'Chrome' 'Firefox' 'Softphone'],['Data Scientists' 'QA'],Standard User,Call Center Workstation,Moderate,Moderate,High,synthetic_hybrid,0.99,True
wks-0589,Windows,10,32,16,False,True,[ 135  139  445 3389],['SSH' 'VPN Client'],['Chrome' 'Postman' 'Selenium' 'Teams' 'VPN Client'],['SOC'],Standard User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.87,True
wks-0590,macOS,14,8,16,False,False,[  22  631 8888],['Backup Agent' 'Defender' 'RDP'],['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code'],['Developers' 'QA'],Standard User,Developer Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.91,True
wks-0591,Windows,10,4,64,False,True,[ 135  139  445 3389],[],['Excel' 'Power BI Desktop' 'SAP GUI'],['Engineering' 'Training'],Standard User,Finance Workstation,High,High,Moderate,synthetic_ml_seed,0.94,True
wks-0592,Windows,10,8,8,False,True,[139],['OneDrive Sync' 'VPN Client'],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['Developers' 'Retail'],Privileged Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_hybrid,0.97,True
wks-0593,Windows,10,4,16,False,True,[ 135  139  445 3389],[],['Excel' 'Power BI Desktop' 'SAP GUI'],['Data Scientists' 'Help Desk'],Standard User,Finance Workstation,High,High,Moderate,synthetic_hybrid,0.92,True
wks-0594,Windows,10,4,16,True,True,[ 135  139  445 3389],['Defender' 'Print Spooler'],"['Firefox' 'Office' 'PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'
 'VPN Client']",['Call Center' 'Retail'],Privileged Admin,IT Admin Workstation,High,High,Moderate,synthetic_hybrid,0.9,True
wks-0595,Windows,11,8,16,False,True,[ 139 3389],['Defender' 'VPN Client'],['Chrome' 'KioskShell' 'Office' 'Zoom'],['Domain Users' 'Finance'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.94,True
wks-0596,Windows,10,4,16,False,True,[ 135  139  445 3389],['Backup Agent' 'OneDrive Sync' 'SSH' 'VPN Client'],['CRM Client' 'Chrome' 'Softphone' 'VPN Client' 'Zoom'],['Engineering'],Power User,Call Center Workstation,Moderate,Moderate,High,synthetic_hybrid,0.98,True
wks-0597,Windows,11,4,32,False,True,[445],['Print Spooler' 'RDP' 'SSH'],['CRM Client' 'Chrome' 'Office' 'Softphone' 'Teams' 'VPN Client'],['HR'],Standard User,Call Center Workstation,Moderate,Moderate,High,synthetic_hybrid,0.78,True
wks-0598,Ubuntu Desktop,22.04,32,16,False,True,[22],[],['Office' 'PuTTY' 'RDP' 'ServiceNow' 'Teams' 'VPN Client' 'Zoom'],['IT Operations' 'Training'],Standard User,Help Desk Workstation,Moderate,Moderate,High,synthetic_rules,0.91,True
wks-0599,macOS,13,16,16,False,False,[ 22 631],['Defender' 'OneDrive Sync' 'SSH'],['Chrome' 'Firefox' 'Office' 'VS Code'],['Data Scientists'],Standard User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.71,True
wks-0600,macOS,13,16,8,False,True,[ 22 631],['Print Spooler' 'VPN Client'],['Chrome' 'Office' 'Teams' 'VPN Client' 'Zoom'],['SOC'],Standard User,Executive Workstation,High,High,Moderate,synthetic_ml_seed,0.73,True
wks-0601,macOS,13,8,16,False,False,[631],['Backup Agent' 'Defender' 'Print Spooler' 'VPN Client'],['Chrome' 'KioskShell' 'VPN Client' 'Zoom'],['IT Operations' 'Training'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.91,True
wks-0602,Windows,11,16,64,False,True,[135 139 445],[],"['Burp Suite' 'Chrome' 'Firefox' 'Splunk' 'Sysinternals' 'Teams'
 'Wireshark']",['Developers' 'HR'],Standard User,SOC Analyst Workstation,High,High,Moderate,synthetic_ml_seed,0.98,True
wks-0603,macOS,13,4,16,True,False,[  22 5601],[],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['Retail'],Power User,SOC Analyst Workstation,High,High,Moderate,synthetic_hybrid,0.82,True
wks-0604,Windows,10,4,8,False,True,[ 139  445 3389],['Defender' 'Print Spooler'],['PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'],['IT Operations'],Standard User,IT Admin Workstation,High,High,Moderate,synthetic_ml_seed,0.94,True
wks-0605,Windows,11,32,64,True,True,[139],[],['Firefox' 'PuTTY' 'RDP' 'ServiceNow' 'Teams'],['Retail'],Standard User,Help Desk Workstation,Moderate,Moderate,High,synthetic_rules,0.79,True
wks-0606,Windows,10,8,16,False,True,[5601],['EDR Agent' 'OneDrive Sync'],['Burp Suite' 'Office' 'Splunk' 'Sysinternals' 'Wireshark'],['Executives'],Power User,SOC Analyst Workstation,High,High,Moderate,synthetic_ml_seed,0.8,True
wks-0607,Ubuntu Desktop,22.04,8,64,False,True,[631],[],['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code'],['Developers' 'Executives'],Standard User,Developer Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.7,True
wks-0608,Windows,11,4,16,True,True,[ 139  445 8888],[],['Anaconda' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'TensorFlow'],['Developers' 'Finance'],Power User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.94,True
wks-0609,Windows,11,8,64,False,True,[ 135 3389],['EDR Agent' 'OneDrive Sync'],['Chrome' 'Firefox' 'Office' 'VS Code'],['Training'],Local Admin,Training Lab Workstation,Moderate,High,Moderate,synthetic_hybrid,0.86,True
wks-0610,macOS,14,8,64,True,False,[631],['Defender' 'OneDrive Sync' 'RDP' 'SSH'],['Anaconda' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'TensorFlow'],['Help Desk' 'QA'],Standard User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.81,True
wks-0611,Windows,10,4,64,False,True,[139],['Print Spooler' 'VPN Client'],['Chrome' 'Excel' 'Firefox' 'Power BI Desktop' 'SAP GUI' 'VPN Client'],['Data Scientists' 'Finance'],Local Admin,Finance Workstation,High,High,Moderate,synthetic_hybrid,0.98,True
wks-0612,Windows,11,32,8,False,True,[135],[],['Chrome' 'POS Client' 'Receipt Printer Driver' 'VPN Client' 'Zoom'],['Domain Users' 'HR'],Privileged Admin,Point of Sale Workstation,Moderate,High,High,synthetic_rules,0.97,True
wks-0613,Windows,10,4,8,False,True,[139 445],['Backup Agent' 'Defender' 'Print Spooler'],['Chrome' 'Office' 'Teams' 'VPN Client'],['Call Center'],Power User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.84,True
wks-0614,Ubuntu Desktop,22.04,32,32,False,True,[631],['EDR Agent' 'Print Spooler'],['Chrome' 'KioskShell' 'VPN Client'],['QA' 'SOC'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.72,True
wks-0615,Windows,10,8,8,False,True,[ 135  139 3389 8888],[],"['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VPN Client'
 'VS Code' 'Zoom']",['Developers' 'Engineering' 'Help Desk'],Local Admin,Developer Workstation,Moderate,High,Moderate,synthetic_hybrid,0.82,True
wks-0616,Windows,11,32,16,False,True,[139 445],['Backup Agent' 'Defender'],['POS Client' 'Receipt Printer Driver'],['Domain Users' 'SOC'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_hybrid,0.88,True
